JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPay&Benefits,Year,Agency
FIREFIGHTER PARAMEDI,58795.24,10432.76,13927.23,41985.31,83155.23,125140.54,2014,Boulder City
POLICE OFFICER,58968.7,1862.56,28699,34447.11,89530.26,123977.37,2014,Boulder City
DEV SVC CONSER SPEC,71503.42,0,26787.39,24437.64,98290.81,122728.45,2014,Boulder City
ADMIN CONTRACTS,71443.56,2637.49,13681.38,34007.48,87762.43,121769.91,2014,Boulder City
COORDINATOR RECREAT,48328.85,0,47831.33,25271.88,96160.18,121432.06,2014,Boulder City
SUPER LANDSCAPE,72223.7,438.53,14575.25,33933.05,87237.48,121170.53,2014,Boulder City
COORD DESIGN CONST,70381.12,1855.1,23716.88,24059.51,95953.1,120012.61,2014,Boulder City
SUPER UTIL BILL COLL,69836.23,0,15119.95,33817.31,84956.18,118773.49,2014,Boulder City
POL OFF ANIM CON SUP,63430.68,14.31,27109.7,27953.31,90554.69,118508,2014,Boulder City
ACCOUNT ANALYST,39499.87,0,61508.28,13840.34,101008.15,114848.49,2014,Boulder City
WW TRTMNT PLNT OPER,57880.22,3091.13,19573.46,32090.39,80544.81,112635.2,2014,Boulder City
FIREFIGHTER PARAMEDI,58105.59,6768.98,5976.64,39331.21,70851.21,110182.42,2014,Boulder City
COORDINATOR AQUATICS,65332.83,403.99,20853.19,22294.9,86590.01,108884.91,2014,Boulder City
COMBINATION INSPECT,68848.93,9.45,8295.15,31714.49,77153.53,108868.02,2014,Boulder City
FIREFIGHTER/EMT1,55077.38,8715.03,5664,38996.75,69456.41,108453.16,2014,Boulder City
COORDINATOR REC PROG,63271.89,44.37,22914.15,21889.55,86230.41,108119.96,2014,Boulder City
COORDINATOR AIRPORT,63875.94,209.22,10796.06,31838.67,74881.22,106719.89,2014,Boulder City
DISPATCHER,57027.68,2519.2,15115.16,30356.5,74662.04,105018.54,2014,Boulder City
TECH WATER SEWER,46358.3,3220.52,23166.06,30337.92,72744.88,103082.8,2014,Boulder City
TECH WATER SEWER,49003.84,3273.88,20183.13,30393.84,72460.85,102854.69,2014,Boulder City
MAINT COORD STREET,54892.23,6445.58,11621.85,29746.8,72959.66,102706.46,2014,Boulder City
DISPATCHER,54209.31,2214.65,15006.28,30010.81,71430.24,101441.05,2014,Boulder City
MAINT WRK SR WATER,51880.78,4746.95,15111.46,29391.99,71739.19,101131.18,2014,Boulder City
MAINT WRK SR WATER,48299.17,5719.74,17485.43,29558.55,71504.34,101062.89,2014,Boulder City
MAINT COORD STREET,55105.34,3058.97,12997.18,29339.84,71161.49,100501.33,2014,Boulder City
MAINT WRK SR WATER,50906.36,3800.08,15767.45,29426.5,70473.89,99900.39,2014,Boulder City
EQUIPMENT MECHANIC,56434.41,3483.25,10202.87,29125.26,70120.53,99245.79,2014,Boulder City
FIREFIGHTER PARAMEDI,37665.44,9450.76,16659.9,35436.21,63776.1,99212.31,2014,Boulder City
TECHNICIAN INSPECTOR,59545.72,2622.63,6307.08,29505.17,68475.43,97980.6,2014,Boulder City
TECH IRRIGATION,53648.15,3269.44,12286.05,28626.73,69203.64,97830.37,2014,Boulder City
JUDGE-MUNI COURT,64413.52,0,14236.8,19170.3,78650.32,97820.62,2014,Boulder City
EXEC SECRETARY,56813.03,0,20334.98,19826.3,77148.01,96974.31,2014,Boulder City
DEPUTY CITY CLERK,57941.05,0,17929.6,19436.2,75870.65,95306.85,2014,Boulder City
DISPATCHER,52157.8,0,13920.83,28864.59,66078.63,94943.22,2014,Boulder City
MAINT WRK SR WATER,47903,3.28,17653.16,28716.2,65559.44,94275.64,2014,Boulder City
DISPATCHER,55497.66,2216.05,8302.05,27983.13,66015.76,93998.89,2014,Boulder City
MAINT COORD STREET,52621.65,0,12437.36,28925.53,65059.01,93984.54,2014,Boulder City
SECRETARY DEPT,54766.36,397.71,18344.13,18450.43,73508.2,91958.63,2014,Boulder City
PARALEGAL,55766.23,0,7066.01,28456.57,62832.24,91288.81,2014,Boulder City
METER READER,50857.82,5535.46,7641.17,27120.06,64034.45,91154.51,2014,Boulder City
MAINT WORK BLDG FAC,50598.64,1956.45,10499.25,27525.56,63054.34,90579.9,2014,Boulder City
MAINT WORKER SR,48695.76,739.5,13273.93,27468.52,62709.19,90177.71,2014,Boulder City
DISPATCHER,45658.37,902.64,14753.31,27315.3,61314.32,88629.62,2014,Boulder City
COURT CLERK SENIOR,52049.61,757.35,8021.87,27299.74,60828.83,88128.57,2014,Boulder City
LAND MAINT WORK SR,47035.53,112.2,13242.82,27320.22,60390.55,87710.77,2014,Boulder City
COURT CLERK SENIOR,51429.69,284.01,8641.8,27292.88,60355.5,87648.38,2014,Boulder City
SECRETARY DEPT,50964.52,0,9106.99,27288.79,60071.51,87360.3,2014,Boulder City
SECRETARY DEPT,53141.11,0,6925.62,27287.47,60066.73,87354.2,2014,Boulder City
TECHNICIAN INSPECTOR,54531,2802.33,2762.6,27161.51,60095.93,87257.44,2014,Boulder City
CLERK ACCTS PAYABLE,50493.36,0,19009.86,17488.21,69503.22,86991.43,2014,Boulder City
TECH ARCHIVE RECORDS,47222.81,0,12243.59,27466.86,59466.4,86933.26,2014,Boulder City
METER READER,49616.38,1707.13,8882.65,26631.99,60206.16,86838.15,2014,Boulder City
SECRETARY DEPT,45431.76,0,14094.84,27140.59,59526.6,86667.19,2014,Boulder City
MAINT CREW LD BLDG,32428.14,8.99,25175.34,28927.75,57612.47,86540.22,2014,Boulder City
CLERK UTILITIES,50426.56,47.06,8687.57,26560.26,59161.19,85721.45,2014,Boulder City
OFFICE ASSISTANT,51138.89,101.98,7646.95,26725.88,58887.82,85613.7,2014,Boulder City
DEV SVCS SPECIALIST,49557.11,6.52,18852.77,17099.63,68416.4,85516.03,2014,Boulder City
OFFICE ASSISTANT,48760.71,80.62,9927.18,26695.32,58768.51,85463.83,2014,Boulder City
FIREFIGHTER/EMT1,45035.17,3460.97,4102.08,32538.77,52598.22,85136.99,2014,Boulder City
SECRETARY DIVISIONAL,48637.1,61.86,9723.14,26569.22,58422.1,84991.32,2014,Boulder City
CLERK UTILITIES,50084.26,317.91,7100.16,26536.19,57502.33,84038.52,2014,Boulder City
MAINT WRK WATER SEWE,44781.6,727.93,11092.48,26066,56602.01,82668.01,2014,Boulder City
ELECTRIC LINEWORKER,50610.76,1667.42,7422.06,22855.97,59700.24,82556.21,2014,Boulder City
MAINT WORK LANDSCP,44290.96,880.16,10344.15,25919.57,55515.27,81434.84,2014,Boulder City
MAINT WRK WATER SEWE,47806.19,831.53,6836.8,25900.25,55474.52,81374.77,2014,Boulder City
MAINT WORKER STREET,45311.31,14.34,9744.64,25924.23,55070.29,80994.52,2014,Boulder City
CUSTODIAL WORKER SR,48184.13,0,6428.72,25803.56,54612.85,80416.41,2014,Boulder City
COURT MARSHAL,44377.98,0,11909.71,24038.26,56287.69,80325.95,2014,Boulder City
LAND MAINT WORK SR,46718.26,15.29,8004.97,25516.89,54738.52,80255.41,2014,Boulder City
DISPATCHER,44785.69,795.13,8408.86,25361.7,53989.68,79351.38,2014,Boulder City
CLERK ACCOUNTING,44744.89,0,8629.74,25163.13,53374.63,78537.76,2014,Boulder City
POLICE OFF ANIM CONT,43945.89,691.84,8370.98,24752.79,53008.71,77761.5,2014,Boulder City
SECRETARY DEPT,48236.26,0,4230.96,25285.19,52467.22,77752.41,2014,Boulder City
CUSTODIAL WORKER,43931.29,0,5159.98,24354.91,49091.27,73446.18,2014,Boulder City
TECH IT SUPPORT,42705.66,0,5883.14,24830.34,48588.8,73419.14,2014,Boulder City
POLICE OFFICER,36827.28,952.2,13272.47,21905.21,51051.95,72957.16,2014,Boulder City
MAINT WORK LANDSCP,41814.13,1010.45,5544.16,23607.7,48368.74,71976.44,2014,Boulder City
ELECTRIC LINEWORKER,12832.01,0,47932.9,10726.6,60764.91,71491.51,2014,Boulder City
EQUIP OPER STREET,20438.13,0,29178.29,19613.16,49616.42,69229.58,2014,Boulder City
CUSTODIAL WORKER,41892.01,99.63,3558.51,23313.14,45550.15,68863.29,2014,Boulder City
MAINT WORK LANDSCP,41891.96,0,3072.88,23113.75,44964.84,68078.59,2014,Boulder City
DISPATCHER,41448.88,70.11,4082.25,21512.51,45601.24,67113.75,2014,Boulder City
CLERK MED BILLING,36854.13,0,6014.67,23246.02,42868.8,66114.82,2014,Boulder City
TECH SIGN DELINEATIO,19325.23,248.81,29258.76,16775.03,48832.8,65607.83,2014,Boulder City
EQUIP OPER STREET,42146.9,1057.49,3473.44,14893.95,46677.83,61571.78,2014,Boulder City
CUSTODIAL WORKER,37950.75,0,2258.75,19309.71,40209.5,59519.21,2014,Boulder City
PERSONNEL ANALYS,42734.65,0,1117.68,14315.55,43852.33,58167.88,2014,Boulder City
CLERK/ADMINISTRATIVE,43352.7,452.28,17.5,13630.42,43822.48,57452.9,2014,Boulder City
TECH SUBSTATION MAIN,28104.48,751.68,4464.08,13315.18,33320.24,46635.42,2014,Boulder City
MAINT WORK LANDSCP,6157.77,0,24077.29,14327.84,30235.06,44562.9,2014,Boulder City
Not Provided,33776.3,0,0,10528.64,33776.3,44304.94,2014,Boulder City
OFFICE ASSIST W/PERS,30512.53,0,0,9512.71,30512.53,40025.24,2014,Boulder City
OFFICE ASSIST W/PERS,29666.87,0,0,9247.43,29666.87,38914.3,2014,Boulder City
TECH SUBSTATION MAIN,12694.24,2932.48,11562.59,10485.31,27189.31,37674.62,2014,Boulder City
Not Provided,26280.75,0,1799,8288.94,28079.75,36368.69,2014,Boulder City
Not Provided,25215.81,82.69,0,7865.05,25298.5,33163.55,2014,Boulder City
POLICE OFFICER,10791,922.02,11752.66,9650.26,23465.68,33115.94,2014,Boulder City
ELECTRIC LINEWORKER,18374.4,960.48,4187.42,9403.05,23522.3,32925.35,2014,Boulder City
MAINT WORKER ASST,16777.95,0,1005,9130.3,17782.95,26913.25,2014,Boulder City
Not Provided,0,0,23757.65,2832.09,23757.65,26589.74,2014,Boulder City
FIREFIGHTER PARAMEDI,13103.12,1206.75,1952.8,9868.82,16262.67,26131.49,2014,Boulder City
FIREFIGHTER PARAMEDI,13216.28,707.35,2216,9618.19,16139.63,25757.82,2014,Boulder City
Not Provided,18656.25,0,527,5843.04,19183.25,25026.29,2014,Boulder City
COORDINATOR RECREAT,13997.3,0,528.2,7057.01,14525.5,21582.51,2014,Boulder City
Not Provided,15735,117,0,4913.22,15852,20765.22,2014,Boulder City
OFFICE ASSISTANT,17334,0,0,2063.22,17334,19397.22,2014,Boulder City
Not Provided,17136,0,0,2038.56,17136,19174.56,2014,Boulder City
MAYOR,13898.52,0,0,4303.38,13898.52,18201.9,2014,Boulder City
POLICE OFFICER,11935.62,124.2,1428.48,4148.03,13488.3,17636.33,2014,Boulder City
ELECTRIC LINEWORKER,7714.95,344.41,3247.37,6058.33,11306.73,17365.06,2014,Boulder City
Not Provided,15200,0,0,1804.38,15200,17004.38,2014,Boulder City
GIS ANALYST,14982.75,0,0,1787.02,14982.75,16769.77,2014,Boulder City
Not Provided,14424,0,0,1711.12,14424,16135.12,2014,Boulder City
BCTV TECHNICIAN-PT,14115,0,0,1676.34,14115,15791.34,2014,Boulder City
Not Provided,13710,0,0,1630.82,13710,15340.82,2014,Boulder City
Not Provided,11912.15,0,165,3107.93,12077.15,15185.08,2014,Boulder City
Not Provided,13286.25,0,0,1579.48,13286.25,14865.73,2014,Boulder City
Not Provided,13163.08,0,0,1566.17,13163.08,14729.25,2014,Boulder City
Not Provided,13202.14,0,0,1488.09,13202.14,14690.23,2014,Boulder City
COUNCIL MEMBER,11202.84,0,0,3468.72,11202.84,14671.56,2014,Boulder City
COUNCIL MEMBER,11202.84,0,0,3468.72,11202.84,14671.56,2014,Boulder City
Not Provided,12776,0,0,1522.81,12776,14298.81,2014,Boulder City
CUSTODIAL WORKER,0,0,10727.59,2681.47,10727.59,13409.06,2014,Boulder City
Not Provided,5225.39,0,4739.25,3355.14,9964.64,13319.78,2014,Boulder City
Not Provided,11850,0,0,1406.11,11850,13256.11,2014,Boulder City
FIREFIGHTER PARAMEDI,3595.23,1815.36,2317.8,4816.84,7728.39,12545.23,2014,Boulder City
Not Provided,10958.43,0,0,1548.92,10958.43,12507.35,2014,Boulder City
COUNCIL MEMBER,11202.84,0,0,1278.6,11202.84,12481.44,2014,Boulder City
COUNCIL MEMBER,11202.84,0,0,1278.6,11202.84,12481.44,2014,Boulder City
Not Provided,11036.25,0,0,1321.84,11036.25,12358.09,2014,Boulder City
Not Provided,342.38,0,10353.37,1383.36,10695.75,12079.11,2014,Boulder City
Not Provided,9470.37,0,0,2490.43,9470.37,11960.8,2014,Boulder City
COURT MARSHAL PT,9789.5,0,517.5,1220.77,10307,11527.77,2014,Boulder City
Not Provided,9955,0,0,1184.19,9955,11139.19,2014,Boulder City
COURT MARSHAL PT,9256.45,0,690,1184.93,9946.45,11131.38,2014,Boulder City
Not Provided,9645.28,0,0,1249.85,9645.28,10895.13,2014,Boulder City
Not Provided,9198.75,0,0,1195.04,9198.75,10393.79,2014,Boulder City
Not Provided,8998.7,0,0,1073.8,8998.7,10072.5,2014,Boulder City
MAINT WORKER ASST,5451,118.5,689,3460.8,6258.5,9719.3,2014,Boulder City
Not Provided,7532.36,0,0,2177.39,7532.36,9709.75,2014,Boulder City
Not Provided,0,0,8460.04,1003.69,8460.04,9463.73,2014,Boulder City
Not Provided,8402.65,0,0,997.11,8402.65,9399.76,2014,Boulder City
Not Provided,0,0,7998.69,964.03,7998.69,8962.72,2014,Boulder City
Not Provided,7785,0,0,923.6,7785,8708.6,2014,Boulder City
Not Provided,0,0,7735,928.29,7735,8663.29,2014,Boulder City
METER READER PT,6311.71,0,0,1963.21,6311.71,8274.92,2014,Boulder City
Not Provided,7060.09,0,192.5,939,7252.59,8191.59,2014,Boulder City
Not Provided,7264.16,0,0,863.04,7264.16,8127.2,2014,Boulder City
Not Provided,7175,0,0,931.95,7175,8106.95,2014,Boulder City
Not Provided,7107.38,0,0,918.84,7107.38,8026.22,2014,Boulder City
Not Provided,6892.92,0,0,890.83,6892.92,7783.75,2014,Boulder City
Not Provided,6769.18,0,0,801.69,6769.18,7570.87,2014,Boulder City
Not Provided,5835.9,0,0,1683.5,5835.9,7519.4,2014,Boulder City
Not Provided,6325.71,0,0,817.67,6325.71,7143.38,2014,Boulder City
Not Provided,330.01,0,5644.74,699.85,5974.75,6674.6,2014,Boulder City
Not Provided,5832.79,0,0,700.52,5832.79,6533.31,2014,Boulder City
Not Provided,0,0,5787.42,686.34,5787.42,6473.76,2014,Boulder City
Not Provided,5614.17,0,0,671.79,5614.17,6285.96,2014,Boulder City
Not Provided,5486.28,0,0,712.59,5486.28,6198.87,2014,Boulder City
Not Provided,0,0,5082.04,604.82,5082.04,5686.86,2014,Boulder City
Not Provided,4747.91,0,0,633.12,4747.91,5381.03,2014,Boulder City
Not Provided,4319.54,0,0,1048.94,4319.54,5368.48,2014,Boulder City
Not Provided,3885.8,0,811,637.17,4696.8,5333.97,2014,Boulder City
Not Provided,4657.16,0,0,597.39,4657.16,5254.55,2014,Boulder City
Not Provided,0,0,4650.8,553.12,4650.8,5203.92,2014,Boulder City
Not Provided,4043.9,0,0,1038.13,4043.9,5082.03,2014,Boulder City
Not Provided,4.63,0,4423.12,570.74,4427.75,4998.49,2014,Boulder City
Not Provided,4426.17,0,0,571.03,4426.17,4997.2,2014,Boulder City
Not Provided,4401,0,0,527.86,4401,4928.86,2014,Boulder City
FIREFIGHTER PARAMEDI,3837.6,0,0,1078.18,3837.6,4915.78,2014,Boulder City
Not Provided,4342.5,0,0,520.83,4342.5,4863.33,2014,Boulder City
Not Provided,3196.93,0,1018,570.9,4214.93,4785.83,2014,Boulder City
Not Provided,4125.53,0,99.15,547.59,4224.68,4772.27,2014,Boulder City
Not Provided,4221.95,0,0,550.12,4221.95,4772.07,2014,Boulder City
Not Provided,4135.33,0,0,546.77,4135.33,4682.1,2014,Boulder City
COURT MARSHAL PT,4178.54,0,0,498.73,4178.54,4677.27,2014,Boulder City
Not Provided,4167,0,0,501.9,4167,4668.9,2014,Boulder City
Not Provided,4167,0,0,501.49,4167,4668.49,2014,Boulder City
Not Provided,4102.31,12.38,0,473.77,4114.69,4588.46,2014,Boulder City
Not Provided,4072.5,0,0,488.07,4072.5,4560.57,2014,Boulder City
Not Provided,3901.5,0,0,450.83,3901.5,4352.33,2014,Boulder City
Not Provided,3843,0,0,460.37,3843,4303.37,2014,Boulder City
Not Provided,3011.28,0,775,451.16,3786.28,4237.44,2014,Boulder City
Not Provided,3780,0,0,453.45,3780,4233.45,2014,Boulder City
Not Provided,3623.83,0,0,464.26,3623.83,4088.09,2014,Boulder City
Not Provided,0,0,3540.38,420.15,3540.38,3960.53,2014,Boulder City
Not Provided,2116.15,0,1370,461.19,3486.15,3947.34,2014,Boulder City
Not Provided,2949.4,0,434,458.65,3383.4,3842.05,2014,Boulder City
Not Provided,3369.34,0,0,424.97,3369.34,3794.31,2014,Boulder City
Not Provided,3356.63,0,0,395.97,3356.63,3752.6,2014,Boulder City
Not Provided,2895.76,0,324,393.64,3219.76,3613.4,2014,Boulder City
Not Provided,0,0,3189.57,377.72,3189.57,3567.29,2014,Boulder City
Not Provided,3104.08,15.47,0,364.45,3119.55,3484,2014,Boulder City
Not Provided,0,0,3024,361.42,3024,3385.42,2014,Boulder City
Not Provided,0,0,2935.39,351.65,2935.39,3287.04,2014,Boulder City
Not Provided,1188.04,0,1602,375.32,2790.04,3165.36,2014,Boulder City
Not Provided,1810.9,0,968,369.59,2778.9,3148.49,2014,Boulder City
Not Provided,2767.5,0,0,335.62,2767.5,3103.12,2014,Boulder City
Not Provided,2325.92,0,0,653.95,2325.92,2979.87,2014,Boulder City
Not Provided,2244.06,0,0,635.14,2244.06,2879.2,2014,Boulder City
Not Provided,2212.5,0,0,626.22,2212.5,2838.72,2014,Boulder City
Not Provided,2157,0,0,670.93,2157,2827.93,2014,Boulder City
Not Provided,2468.81,0,0,311.2,2468.81,2780.01,2014,Boulder City
Not Provided,2162.16,0,0,608.43,2162.16,2770.59,2014,Boulder City
Not Provided,2444.09,0,0,315.9,2444.09,2759.99,2014,Boulder City
Not Provided,2448.95,0,0,308.98,2448.95,2757.93,2014,Boulder City
Not Provided,496.13,0,1944.32,315.93,2440.45,2756.38,2014,Boulder City
Not Provided,2400.76,0,0,301.71,2400.76,2702.47,2014,Boulder City
Not Provided,2370.32,0,0,298.92,2370.32,2669.24,2014,Boulder City
Not Provided,2293.51,0,0,265.02,2293.51,2558.53,2014,Boulder City
Not Provided,0,0,2260.3,260.54,2260.3,2520.84,2014,Boulder City
Not Provided,0,0,2212.18,265.6,2212.18,2477.78,2014,Boulder City
Not Provided,2155.25,0,0,271.43,2155.25,2426.68,2014,Boulder City
Not Provided,903.38,0,1245.9,275.8,2149.28,2425.08,2014,Boulder City
Not Provided,0,0,2152.5,260.94,2152.5,2413.44,2014,Boulder City
Not Provided,119.63,0,2034.6,251.25,2154.23,2405.48,2014,Boulder City
Not Provided,1782.01,0,292,280.01,2074.01,2354.02,2014,Boulder City
Not Provided,2106,0,0,237.38,2106,2343.38,2014,Boulder City
Not Provided,1984.14,0,36,265.28,2020.14,2285.42,2014,Boulder City
Not Provided,1896.26,0,0,238.63,1896.26,2134.89,2014,Boulder City
Not Provided,0,0,1908.2,225.5,1908.2,2133.7,2014,Boulder City
Not Provided,1661.4,0,0,470.22,1661.4,2131.62,2014,Boulder City
Not Provided,1437.25,0,239,428.21,1676.25,2104.46,2014,Boulder City
Not Provided,0,0,1866.39,222.69,1866.39,2089.08,2014,Boulder City
Not Provided,1809,0,0,203.92,1809,2012.92,2014,Boulder City
Not Provided,1693.32,0,0,195.65,1693.32,1888.97,2014,Boulder City
Not Provided,1602.57,0,0,197.12,1602.57,1799.69,2014,Boulder City
Not Provided,0,0,1600.9,191.49,1600.9,1792.39,2014,Boulder City
Not Provided,1596.38,0,0,184.46,1596.38,1780.84,2014,Boulder City
Not Provided,1528.32,0,0,175.78,1528.32,1704.1,2014,Boulder City
Not Provided,1299.38,0,180,195.8,1479.38,1675.18,2014,Boulder City
Not Provided,1473.75,0,0,170.3,1473.75,1644.05,2014,Boulder City
Not Provided,808.51,0,624,188.8,1432.51,1621.31,2014,Boulder City
Not Provided,424.7,0,918.5,170.33,1343.2,1513.53,2014,Boulder City
Not Provided,0,0,1311.8,159.8,1311.8,1471.6,2014,Boulder City
Not Provided,0,0,1288.9,154.53,1288.9,1443.43,2014,Boulder City
Not Provided,641.45,0,580,160.39,1221.45,1381.84,2014,Boulder City
Not Provided,1188,0,0,142.07,1188,1330.07,2014,Boulder City
Not Provided,1146.76,0,0,145.24,1146.76,1292,2014,Boulder City
Not Provided,0,0,1125.95,135.36,1125.95,1261.31,2014,Boulder City
Not Provided,1117.89,0,0,141.57,1117.89,1259.46,2014,Boulder City
Not Provided,408.38,0,664,140.83,1072.38,1213.21,2014,Boulder City
